Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
153,"
RSK Infrastructure Framework",RSK RBTC,"$109,541,494",$0.1141,"960,040,002 RIF *","$4,322,202",0.60%,-1.24%,-11.66%
154,"
Smooth Love Potion",Ethereum,"$108,181,494",$0.002563,"42,217,125,998 SLP *","$9,309,944",-0.59%,-3.94%,-11.72%
155,"
Hashflow",Ethereum,"$108,954,006",$0.5616,"194,008,424 HFT *","$19,058,987",-0.40%,-6.26%,-24.33%
156,"
Coin98",Ethereum,"$107,573,540",$0.2301,"467,499,991 C98 *","$13,685,794",-0.10%,-3.36%,-20.74%
157,"
LooksRare",Ethereum,"$107,329,020",$0.1317,"814,728,329 LOOKS *","$4,837,265",-0.33%,-4.09%,-19.51%
158,"
Chromia",Ethereum,"$106,481,402",$0.1551,"686,549,902 CHR *","$8,012,361",-0.54%,-4.21%,-18.25%
159,"
Ultra",Ethereum,"$106,198,954",$0.3164,"335,602,984 UOS *","$1,620,696",0.97%,0.07%,-15.65%
160,"
Artificial Liquid Intelligence",Ethereum,"$105,872,881",$0.02951,"3,588,163,660 ALI *","$1,796,774",0.18%,-2.84%,-8.28%
161,"
Venus USDC",BNB Smart Chain (BEP20),"$105,175,555",$0.02204,"4,771,015,133 vUSDC *","$18,983,496",-0.02%,-0.10%,0.08%
162,"
Galxe",Ethereum,"$104,774,343",$1.63,"64,474,999 GAL *","$11,508,146",-0.23%,-2.73%,-22.05%
163,"
Numeraire",Ethereum,"$104,646,696",$16.80,"6,227,972 NMR *","$4,643,587",-0.15%,-3.07%,-13.06%
164,"
FLEX",Ethereum,"$104,612,793",$1.06,"98,664,980 FLEX *","$872,922",0.00%,-4.16%,-38.38%
165,"
tomiNet",Ethereum,"$103,221,773",$2.60,"39,642,453 TOMI *","$10,433,181",-1.44%,-1.26%,4.73%
166,"
ConstitutionDAO",Ethereum,"$104,283,760",$0.02061,"5,060,137,335 PEOPLE *","$10,181,452",-0.37%,-2.63%,-15.16%
167,"
Status",Ethereum,"$103,221,868",$0.0268,"3,852,233,951 SNT *","$1,311,027",-0.15%,-2.76%,-7.01%
168,"
Civic",Ethereum,"$103,044,816",$0.103,"1,000,000,000 CVC *","$9,359,490",-1.13%,-4.67%,-8.06%
169,"
APENFT",Ethereum,"$102,819,703",$0.0000003711,"277,080,562,500,000 NFT *","$10,373,702",-0.10%,-0.99%,-4.95%
170,"
MiL.k",,"$102,782,239",$0.3693,"278,346,038 MLK *","$72,406,508",-1.40%,-12.83%,-17.99%
171,"
Voyager Token",Ethereum,"$101,756,428",$0.3654,"278,482,214 VGX *","$19,039,070",0.73%,2.82%,4.19%
172,"
Metars Genesis",BNB Smart Chain (BEP20),"$99,638,625",$1.59,"62,850,000 MRS *","$82,726",0.00%,3.40%,5.37%
173,"
Dent",Ethereum,"$97,383,068",$0.0009836,"99,007,791,203 DENT *","$3,168,731",-0.23%,-3.25%,-16.93%
174,"
Ontology Gas",BNB Smart Chain (BEP20),"$96,299,117",$0.2826,"340,810,102 ONG *","$2,327,334",0.01%,-3.05%,-9.29%
175,"
Radiant Capital",Arbitrum,"$95,934,815",$0.371,"258,594,646 RDNT *","$44,072,465",-0.32%,-8.88%,-15.28%
176,"
MOBOX",BNB Smart Chain (BEP20),"$95,567,603",$0.5061,"188,842,120 MBOX *","$8,139,863",-0.17%,-0.88%,-4.38%
177,"
Gitcoin",Ethereum,"$95,382,072",$1.57,"60,690,901 GTC *","$8,835,454",-0.06%,-1.89%,-17.98%
178,"
STP",Ethereum,"$93,329,682",$0.04805,"1,942,420,283 STPT *","$9,070,678",-0.31%,-7.76%,-9.74%
179,"
Vulcan Forged PYR",Ethereum,"$92,641,050",$3.41,"27,182,227 PYR *","$4,809,260",-0.88%,-5.02%,-17.85%
180,"
Hooked Protocol",,"$92,301,709",$1.85,"50,000,000 HOOK *","$25,164,142",-0.06%,-3.99%,-19.98%
181,"
USDX [Kava]",,"$92,169,910",$0.8261,"111,567,264 USDX *","$1,062,118",9.37%,-0.56%,7.19%
182,"
Request",Ethereum,"$92,208,458",$0.09223,"999,755,995 REQ *","$984,693",-0.09%,-3.56%,-10.83%
183,"
Ren",Ethereum,"$91,804,954",$0.09189,"999,037,500 REN *","$13,440,141",0.05%,-2.71%,-19.87%
184,"
Prom",Ethereum,"$91,469,121",$5.01,"18,250,000 PROM *","$6,741,858",-0.89%,-0.13%,-3.16%
185,"
Venus",BNB Smart Chain (BEP20),"$90,996,477",$6.11,"14,881,663 XVS *","$6,105,441",-0.34%,-3.92%,-20.42%
186,"
Humanscape",Ethereum,"$90,688,902",$0.09929,"913,409,274 HUM *","$846,236",-0.44%,-1.22%,-4.42%
187,"
MVL",Ethereum,"$90,074,856",$0.003941,"22,852,958,863 MVL *","$1,310,454",-0.08%,1.46%,-9.61%
188,"
dKargo",Ethereum,"$90,027,625",$0.03563,"2,527,083,333 DKA *","$2,996,268",-0.84%,-2.13%,-5.40%
189,"
Pendle",Ethereum,"$89,287,952",$0.446,"200,197,450 PENDLE *","$2,604,102",-0.30%,-2.06%,-23.47%
190,"
Covalent",Ethereum,"$87,409,222",$0.1552,"563,120,038 CQT *","$2,249,524",-0.78%,-3.44%,-12.37%
191,"
Ribbon Finance",Ethereum,"$87,169,207",$0.1633,"533,852,581 RBN *","$337,613",-0.10%,-2.99%,-17.47%
192,"
Orbs",Ethereum,"$86,657,333",$0.03012,"2,876,767,039 ORBS *","$8,129,761",-0.27%,-5.31%,-6.49%
193,"
VeThor Token",VeChain,"$85,998,414",$0.001394,"61,702,761,474 VTHO *","$1,297,484",0.36%,-1.60%,-2.51%
194,"
Wilder World",Ethereum,"$85,309,730",$0.3399,"250,993,860 WILD *","$618,409",-0.29%,-2.25%,-13.75%
195,"
NYM",Ethereum,"$84,183,971",$0.213,"395,303,814 NYM *","$954,647",-0.13%,-2.34%,-11.53%
196,"
Powerledger",Ethereum,"$84,196,308",$0.1752,"480,486,600 POWR *","$5,011,382",-0.72%,-4.40%,-11.77%
197,"
WINkLink",Tron20,"$83,918,529",$0.00008726,"961,737,300,000 WIN *","$5,449,632",0.03%,-1.12%,-4.79%
198,"
AVINOC",Ethereum,"$83,384,512",$0.2142,"389,244,472 AVINOC *","$128,075",-0.06%,-24.77%,19.65%
199,"
MARBLEX",Klaytn,"$82,529,524",$1.58,"52,330,415 MBX *","$3,153,415",-0.36%,-6.73%,-35.57%
200,"
Augur",Ethereum,"$81,629,116",$7.42,"11,000,000 REP *","$2,577,346",0.01%,-1.96%,-10.28%
