Rank,Name,Platform,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,Cluster
82,0x Protocol,Ethereum,-0.15310368338651123,-0.14501110676162732,"847,496,055 ZRX *",-0.09731650425558029,-0.20563028227631885,-0.13231342182502032,-0.24722587065989643,0
83,DAO Maker,Ethereum,-0.1545393713399381,-0.14465983449360156,"143,942,531 DAO *",-0.10754598411107004,1.1334186052479511,0.9537238764729221,1.1513143365719514,1
84,Band Protocol,Ethereum,-0.15495135095569457,-0.14460095546778431,"124,933,948 BAND *",-0.10501664629487999,0.07806651592797569,-0.13767656897710895,-0.6609220909006638,0
85,SPACE ID,Ethereum,-0.15562420251171225,-0.14489155289970537,"304,486,111 ID *",0.03084102522444066,0.9632005263253745,-1.336339957468912,-0.9284868104593691,0
86,Polymath,Ethereum,-0.15783837782416518,-0.14502688634054633,"924,998,413 POLY *",-0.10619017206883564,0.07806651592797569,-0.5399126053837543,2.345064623833867,1
87,Biconomy,Ethereum,-0.15804820196826022,-0.14498204996238648,"525,194,420 BICO *",-0.10597461456853,-0.3418047454143802,-0.6632649898817922,-0.5250815409708595,0
88,BORA,Klaytn,-0.15996988500754825,-0.1450349527670833,"993,750,000 BORA *",-0.10605540518971122,-0.3645004892707237,-0.29857098353976697,0.27452533247957883,0
89,aelf,Ethereum,-0.16021491203268556,-0.14500203939165146,"601,949,599 ELF *",-0.10563928911548068,-0.1488909226354599,0.09293875856270113,0.31774732563906194,1
90,SKALE,Ethereum,-0.16021847237362685,-0.14507534083484264,"4,483,686,004 SKL *",-0.10134989559205464,-0.5120228243369569,0.24310687882118207,-0.6177000977411807,0
91,Reserve Rights,Ethereum,-0.16023760203677642,-0.14508559108444719,"45,611,899,305 RSR *",-0.1057511144865877,-0.0013685875692267771,0.10366505286687835,-0.5610998686037623,0
92,BinaryX,BNB Smart Chain (BEP20),-0.16047843733360875,-0.1449121016797156,"289,119,100 BNX *",-0.09228892477668212,-0.3871962331270673,0.4790853535130806,0.1263356416470652,1
93,OMG Network,Ethereum,-0.16081548571196078,-0.14473048932458227,"140,245,398 OMG *",-0.08470533238415329,4.673954646837546,0.8276899183988399,-0.639311094320922,1
94,Celer Network,Ethereum,-0.16080611954693125,-0.14507966844324022,"7,085,488,367 CELR *",-0.08519172261278177,-0.761676006756736,-3.1249495326904615,0.1355974973240973,0
95,Alchemy Pay,Ethereum,-0.1611600776675273,-0.14507702183102972,"5,082,155,932 ACH *",-0.09285494212405711,-0.30776112962986485,-0.3736550436690075,-0.42834660389963536,0
